route_id,query_date,route_pair,n_flights,synthetic,corridor_id,waypoint_index,lon,lat
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,51,130.05331,53.34864
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,52,131.79049,51.87922
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,53,133.26773,50.04546
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,54,134.51345,47.94768
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,55,135.68475,45.80281
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,56,136.82833,43.62856
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,57,138.00647,41.50483
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,58,138.58415,40.42797
2022-01-17_EDDF_RJTT_0,2022-01-17,EDDF→RJTT,6,False,0,59,139.7811,35.5494
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,0,8.5706,50.0333
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,1,13.44845,53.15295
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,2,14.50481,53.59946
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,3,16.60499,54.52163
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,4,18.72694,55.39694
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,5,20.85516,56.25155
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,6,22.98269,57.08202
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,7,25.12452,57.8636
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,8,27.29064,58.55804
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,9,29.48713,59.13979
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,10,31.71888,59.60485
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,11,33.98424,59.96679
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,12,36.26335,60.25872
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,13,38.54988,60.4954
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,14,40.83873,60.71055
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,15,43.12765,60.92527
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,16,45.41713,61.13538
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,17,47.69995,61.24468
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,18,49.97237,61.2203
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,19,52.23485,61.05678
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,20,54.48875,60.73948
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,21,56.73329,60.27505
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,22,58.97542,59.76283
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,23,61.21855,59.25061
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,24,63.46282,58.73839
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,25,65.70823,58.22617
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,26,67.95477,57.71395
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,27,70.20245,57.20174
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,28,72.45025,56.68952
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,29,74.69804,56.1773
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,30,76.94584,55.66508
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,31,79.19364,55.15286
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,32,81.44144,54.64064
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,33,83.68923,54.12842
2022-01-17_EDDF_RJTT_1,2022-01-17,EDDF→RJTT,4,False,1,34,85.93703,53.6162
